"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","22","Weekday",1,0,"152.2400000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,2,"617.6100000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,1,"522.6100000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,6,"707.2000000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,7,"181.2600000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,3,"1159.7500000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,4,"1388.7800000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,8,"53.8000000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,5,"1062.5400000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",0,0,"113.0000000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,2,"933.1200000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,1,"666.7000000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,6,"494.5300000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,7,"132.4800000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,3,"1314.9600000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,4,"1114.8000000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,8,"35.4000000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,5,"871.4200000000","High","APC Composite Day"
"Fall 2018","Bus","23","Weekday",1,0,"226.6000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,2,"176.8000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,1,"97.3300000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,6,"140.9800000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,7,"44.7000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,3,"108.2000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,4,"178.2000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,8,"16.1000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,5,"206.3000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",0,0,"10.3000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,2,"129.0600000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,1,"102.3000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,6,"68.5200000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,7,"14.1000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,3,"113.7600000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,4,"145.8000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,8,"1.3000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,5,"108.8000000000","High","APC Composite Day"
"Fall 2018","Bus","24","Weekday",1,0,"32.5000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,2,"107.8000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,1,"95.7000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,6,"36.1900000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,7,"10.4000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,3,"71.3500000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,4,"69.6800000000","High","APC Composite Day"
